Cell,CD20,CD45,CD34,CD10,CD19
VZA01001.H07,1933.84,941.388,30597.6,20203,4967.02
VZA01001.H08,1297.04,2061.85,21217.5,20157.8,3315.6
VZA01001.H09,1509.59,13438.1,2300.22,671.922,1092.54
VZA01001.H10,1461.88,15515,2405.99,631.404,198.609
VZA01001.H11,40177.2,14267.7,2189.47,408.684,14109.7
VZA01001.H12,1476.78,14837.5,2568.7,541.808,957.942
VZA01001.I01,1685.08,1868.72,18376.6,29355.3,3510.21
VZA01001.I02,749.15,2630.03,17175.2,37520.3,3793.61
VZA01001.I04,2020.48,3437.09,23094.7,42370.9,4113.7
VZA01001.I05,10084.5,4113.88,5101.68,18501.4,4820.92
VZA01001.I06,1267.03,524.547,23694.9,16100.2,3866.67
VZA01001.I07,818.502,877.019,19259.6,15690.8,2421.96
VZA01001.I08,532.58,1887.93,29941.9,38269.1,8405.44
VZA01001.I09,1444.69,15327.6,1702.81,1036.52,2097.29
VZA01001.I10,33605,14622.1,2072.55,588.509,10936.6
VZA01001.I11,1470.99,10451.1,1855.13,563.689,1420.94
VZA01001.I12,1459.45,16393,2126.23,460.565,586.222
VZA01001.J01,1827.74,460.251,20612.2,15705.3,6006.68
VZA01001.J02,1196.72,2378.59,16138.3,25905.6,4584.01
VZA01001.J03,1228.79,580.206,17960.7,26570,2085.76
VZA01001.J04,1922.59,1212.95,20001.7,22908,4403.19
VZA01001.J05,3411.24,6415.71,3426.67,27751.4,7370.61
VZA01001.J08,1568.84,3819.8,24184.6,20667.2,3592.28
VZA01001.J09,1595.85,12896.9,2314.06,317.903,1326.73
VZA01001.J10,1636.86,12365.3,1878.98,784.514,1034.69
VZA01001.J11,63736.8,14784.4,1825.21,0,13872.2
VZA01001.J12,1629.88,14179.9,2570.8,1010.89,2027.52
VZA01001.K01,1101.1,1763.81,13197.5,30232,4283.56
VZA01001.K02,524.462,3284.35,13104.2,37174.5,3013.94
VZA01001.K03,1836.1,492.567,2675.38,468.952,1405.99
VZA01001.K04,3018.55,1650.18,2425.25,606.072,1507.85
VZA01001.K05,1947.57,284.393,2350.72,579.294,1546.81
VZA01001.K06,1488.98,3433.46,35710.2,141.932,1486.26
VZA01001.K07,1502.84,2263.23,13257.5,10549.3,3721.46
VZA01001.K09,1700.58,13632.3,2083.7,861.488,1333.64
VZA01001.K10,33991.8,15088.7,1512.09,419.391,18344
