MITTAUSAIKA;Tyyppi;Taimen;TyyppiTaimen;Allastoisto;Allas;;Pituus;Paino;Condition;Sukupuoli;Sukukypsyys;Huom;N;
ALOITUS;2;1;1;2;821;;110;12,2;0,776997113;;;;100;
ALOITUS;2;1;1;2;821;;109;12,1;0,792532018;;;;100;
ALOITUS;2;1;1;2;821;;115;11,5;0,639015851;;;;100;
ALOITUS;2;1;1;2;821;;108;11,6;0,781580097;;;;100;
ALOITUS;2;1;1;2;821;;110;12;0,764259456;;;;100;
ALOITUS;2;1;1;2;821;;110;11,4;0,726046483;;;;100;
ALOITUS;2;1;1;2;821;;106;11,5;0,820590373;;;;100;
ALOITUS;2;1;1;2;821;;90;7;0,82530345;;;;100;
ALOITUS;2;1;1;2;821;;109;11,5;0,75323291;;;;100;
ALOITUS;2;1;1;2;821;;112;12,9;0,777381191;;;;100;
ALOITUS;2;1;1;2;821;;106;10,7;0,763505825;;;;100;
ALOITUS;2;1;1;2;821;;125;17,7;0,761474139;;;;100;
ALOITUS;2;1;1;2;821;;113;12,3;0,721277103;;;;100;
ALOITUS;2;1;1;2;821;;104;9,3;0,703556797;;;;100;
ALOITUS;2;1;1;2;821;;109;10,5;0,687734396;;;;100;
ALOITUS;2;1;1;2;821;;111;11;0,681381821;;;;100;
ALOITUS;2;1;1;2;821;;113;12,1;0,70954902;;;;100;
ALOITUS;2;1;1;2;821;;108;10,7;0,720940262;;;;100;
ALOITUS;2;1;1;2;821;;101;10,7;0,885547519;;;;100;
ALOITUS;2;1;1;2;821;;106;10,4;0,74209912;;;;100;
ALOITUS;2;1;1;2;821;;108;12;0,808531135;;;;100;
ALOITUS;2;1;1;2;821;;107;10,4;0,721019765;;;;100;
ALOITUS;2;1;1;2;821;;116;14,4;0,779178076;;;;100;
ALOITUS;2;1;1;2;821;;111;11,9;0,737131242;;;;100;
ALOITUS;2;1;1;2;821;;105;10,4;0,764003393;;;;100;
ALOITUS;2;1;1;2;821;;113;12,3;0,721277103;;;;100;
ALOITUS;2;1;1;2;821;;111;12,1;0,749520003;;;;100;
ALOITUS;2;1;1;2;821;;110;11,2;0,713308825;;;;100;
ALOITUS;2;1;1;2;821;;102;9,3;0,746757848;;;;100;
ALOITUS;2;1;1;2;821;;116;13,5;0,730479447;;;;100;
ALOITUS;2;1;1;2;821;;104;11;0,832163954;;;;100;
ALOITUS;2;1;1;2;821;;123;18,3;0,827237844;;;;100;
ALOITUS;2;1;1;2;821;;109;11,5;0,75323291;;;;100;
ALOITUS;2;1;1;2;821;;97;7,4;0,693295014;;;;100;
ALOITUS;2;1;1;2;821;;106;10,4;0,74209912;;;;100;
ALOITUS;2;1;1;2;821;;108;9,9;0,667038187;;;;100;
ALOITUS;2;1;1;2;821;;114;13,5;0,770527071;;;;100;
ALOITUS;2;1;1;2;821;;105;10;0,734618647;;;;100;
ALOITUS;2;1;1;2;821;;103;9,7;0,755901917;;;;100;
ALOITUS;2;1;1;2;821;;110;11,9;0,757890627;;;;100;
ALOITUS;2;1;1;2;821;;108;10,7;0,720940262;;;;100;
ALOITUS;2;1;1;2;821;;108;11,2;0,75462906;;;;100;
ALOITUS;2;1;1;2;821;;108;11,4;0,768104579;;;;100;
ALOITUS;2;1;1;2;821;;111;12,4;0,768103143;;;;100;
ALOITUS;2;1;1;2;821;;102;10,2;0,819024736;;;;100;
ALOITUS;2;1;1;2;821;;108;10,8;0,727678022;;;;100;
ALOITUS;2;1;1;2;821;;107;11;0,762617059;;;;100;
ALOITUS;2;1;1;2;821;;112;11,5;0,69301424;;;;100;
ALOITUS;2;1;1;2;821;;107;11;0,762617059;;;;100;
ALOITUS;2;1;1;2;821;;106;10,7;0,763505825;;;;100;
ALOITUS;2;1;1;2;821;;105;11,4;0,837465258;;;;100;
ALOITUS;2;1;1;2;821;;101;11,7;0,968308969;;;;100;
ALOITUS;2;1;1;2;821;;103;10,8;0,841622753;;;;100;
ALOITUS;2;1;1;2;821;;111;11,5;0,712353722;;;;100;
ALOITUS;2;1;1;2;821;;106;10,6;0,756370256;;;;100;
ALOITUS;2;1;1;2;821;;107;10,8;0,748751295;;;;100;
ALOITUS;2;1;1;2;821;;115;13,4;0,744592383;;;;100;
ALOITUS;2;2;2;2;820;;114;12,6;0,719158599;;;;110;
ALOITUS;2;2;2;2;820;;116;13,7;0,741301364;;;;110;
ALOITUS;2;2;2;2;820;;115;12,6;0,700139106;;;;110;
ALOITUS;2;2;2;2;820;;111;11,8;0,730936862;;;;110;
ALOITUS;2;2;2;2;820;;110;11,4;0,726046483;;;;110;
ALOITUS;2;2;2;2;820;;110;11;0,700571168;;;;110;
ALOITUS;2;2;2;2;820;;102;9,6;0,770846811;;;;110;
ALOITUS;2;2;2;2;820;;105;10,5;0,77134958;;;;110;
ALOITUS;2;2;2;2;820;;112;11,8;0,711092872;;;;110;
ALOITUS;2;2;2;2;820;;109;11,1;0,727033504;;;;110;
ALOITUS;2;2;2;2;820;;120;17;0,82896998;;;;110;
ALOITUS;2;2;2;2;820;;110;11,9;0,757890627;;;;110;
ALOITUS;2;2;2;2;820;;116;13,5;0,730479447;;;;110;
ALOITUS;2;2;2;2;820;;112;12,8;0,77135498;;;;110;
ALOITUS;2;2;2;2;820;;109;12,4;0,812181572;;;;110;
ALOITUS;2;2;2;2;820;;111;11,8;0,730936862;;;;110;
ALOITUS;2;2;2;2;820;;111;10,8;0,66899306;;;;110;
ALOITUS;2;2;2;2;820;;105;10,1;0,741964834;;;;110;
ALOITUS;2;2;2;2;820;;108;11,6;0,781580097;;;;110;
ALOITUS;2;2;2;2;820;;109;10,8;0,70738395;;;;110;
ALOITUS;2;2;2;2;820;;110;12,4;0,789734771;;;;110;
ALOITUS;2;2;2;2;820;;111;12;0,743325622;;;;110;
ALOITUS;2;2;2;2;820;;105;12,4;0,910927123;;;;110;
ALOITUS;2;2;2;2;820;;110;9,4;0,598669907;;;;110;
ALOITUS;2;2;2;2;820;;107;12,7;0,880476059;;;;110;
ALOITUS;2;2;2;2;820;;110;10,3;0,655989366;;;;110;
ALOITUS;2;2;2;2;820;;110;9,8;0,624145222;;;;110;
ALOITUS;2;2;2;2;820;;112;11,5;0,69301424;;;;110;
ALOITUS;2;2;2;2;820;;117;14,9;0,785271789;;;;110;
ALOITUS;2;2;2;2;820;;110;11,2;0,713308825;;;;110;
ALOITUS;2;2;2;2;820;;107;12;0,831945883;;;;110;
ALOITUS;2;2;2;2;820;;105;10;0,734618647;;;;110;
ALOITUS;2;2;2;2;820;;105;10,8;0,793388139;;;;110;
ALOITUS;2;2;2;2;820;;108;12,6;0,848957692;;;;110;
ALOITUS;2;2;2;2;820;;105;13,8;1,013773733;;;;110;
ALOITUS;2;2;2;2;820;;102;11,7;0,939469551;;;;110;
ALOITUS;2;2;2;2;820;;110;11,5;0,732415312;;;;110;
ALOITUS;2;2;2;2;820;;114;12,7;0,724866207;;;;110;
ALOITUS;2;2;2;2;820;;103;10,8;0,841622753;;;;110;
ALOITUS;2;2;2;2;820;;105;11,7;0,859503817;;;;110;
ALOITUS;2;2;2;2;820;;110;12,8;0,815210086;;;;110;
ALOITUS;2;2;2;2;820;;115;13,8;0,766819021;;;;110;
ALOITUS;2;2;2;2;820;;107;10,6;0,73488553;;;;110;
ALOITUS;2;2;2;2;820;;108;11,4;0,768104579;;;;110;
ALOITUS;2;2;2;2;820;;105;10,9;0,800734326;;;;110;
ALOITUS;2;2;2;2;820;;105;10,9;0,800734326;;;;110;
ALOITUS;2;2;2;2;820;;109;11,7;0,766332612;;;;110;
ALOITUS;2;2;2;2;820;;108;11,4;0,768104579;;;;110;
ALOITUS;2;2;2;2;820;;109;11;0,720483653;;;;110;
ALOITUS;2;2;2;2;820;;105;11,1;0,815426699;;;;110;
ALOITUS;2;2;2;2;820;;111;12,9;0,799075044;;;;110;
ALOITUS;2;2;2;2;820;;112;12,5;0,753276348;;;;110;
ALOITUS;2;2;2;2;820;;110;12,1;0,770628284;;;;110;
ALOITUS;2;2;2;2;820;;110;12,2;0,776997113;;;;110;
ALOITUS;2;2;2;2;820;;108;11,7;0,788317857;;;;110;
ALOITUS;2;2;2;2;820;;111;13,3;0,823852565;;;;110;
ALOITUS;2;2;2;2;820;;110;11;0,700571168;;;;110;
ALOITUS;2;2;2;2;820;;109;9,9;0,648435287;;;;110;
ALOITUS;2;2;2;2;820;;108;12;0,808531135;;;;110;
ALOITUS;2;2;2;2;820;;107;10,8;0,748751295;;;;110;
ALOITUS;2;2;2;2;820;;105;12,4;0,910927123;;;;110;
ALOITUS;2;2;2;2;820;;106;13,2;0,941895036;;;;110;
ALOITUS;2;2;2;2;820;;111;11,4;0,706159341;;;;110;
ALOITUS;2;2;2;2;820;;106;11;0,78491253;;;;110;
ALOITUS;2;2;2;2;820;;111;12,5;0,774297523;;;;110;
ALOITUS;2;2;2;2;820;;106;11;0,78491253;;;;110;
ALOITUS;2;2;2;2;820;;104;10,9;0,824598827;;;;110;
ALOITUS;2;2;2;2;820;;106;10,4;0,74209912;;;;110;
ALOITUS;2;2;2;2;820;;106;10,1;0,720692414;;;;110;
ALOITUS;2;2;2;2;820;;119;14,2;0,710446729;;;;110;
ALOITUS;2;2;2;2;820;;109;11,7;0,766332612;;;;110;
ALOITUS;2;2;2;2;820;;112;11,6;0,699040451;;;;110;
ALOITUS;2;2;2;2;820;;105;10,3;0,756657207;;;;110;
ALOITUS;2;2;2;2;820;;110;11,9;0,757890627;;;;110;
ALOITUS;2;2;2;2;820;;111;11,8;0,730936862;;;;110;
ALOITUS;2;2;2;2;820;;112;12,1;0,729171504;;;;110;
ALOITUS;2;2;2;2;820;;115;13,6;0,755705702;;;;110;
ALOITUS;2;2;2;2;820;;110;11,4;0,726046483;;;;110;
ALOITUS;2;2;2;2;820;;110;10,6;0,675095852;;;;110;
ALOITUS;2;2;2;2;820;;106;10,8;0,770641393;;;;110;
ALOITUS;2;2;2;2;820;;110;12;0,764259456;;;;110;
ALOITUS;2;2;2;2;820;;119;15;0,750471897;;;;110;
ALOITUS;2;2;2;2;820;;104;10,7;0,809468573;;;;110;
ALOITUS;2;2;2;2;820;;114;13,4;0,764819463;;;;110;
ALOITUS;2;2;2;2;820;;107;11,8;0,818080118;;;;110;
ALOITUS;2;2;2;2;820;;105;10,1;0,741964834;;;;110;
ALOITUS;2;2;2;2;820;;100;8,7;0,742350923;;;;110;
ALOITUS;2;2;2;2;820;;111;10,7;0,66279868;;;;110;
ALOITUS;2;2;2;2;820;;109;13;0,85148068;;;;110;
ALOITUS;2;2;2;2;820;;109;11,7;0,766332612;;;;110;
ALOITUS;2;2;2;2;820;;115;12,6;0,700139106;;;;110;
ALOITUS;2;2;2;2;820;;120;15,3;0,746072982;;;;110;
ALOITUS;2;2;2;2;820;;110;11,8;0,751521798;;;;110;
ALOITUS;2;2;2;2;820;;111;12,6;0,780491904;;;;110;
ALOITUS;2;2;2;2;820;;114;11,8;0,673497736;;;;110;
ALOITUS;2;2;2;2;820;;106;11,3;0,806319236;;;;110;
ALOITUS;2;2;2;2;820;;105;10,7;0,786041953;;;;110;
ALOITUS;2;2;2;2;820;;107;9,9;0,686355353;;;;110;
ALOITUS;2;2;2;2;820;;114;13,9;0,793357502;;;;110;
ALOITUS;2;2;2;2;820;;105;11,9;0,87419619;;;;110;
ALOITUS;2;2;2;2;820;;107;10,4;0,721019765;;;;110;
ALOITUS;2;2;2;2;820;;106;11,3;0,806319236;;;;110;
ALOITUS;2;2;2;2;820;;107;10,8;0,748751295;;;;110;
ALOITUS;2;2;2;2;820;;110;12,4;0,789734771;;;;110;
ALOITUS;2;2;2;2;820;;105;9,4;0,690541529;;;;110;
ALOITUS;2;2;2;2;820;;112;12,9;0,777381191;;;;110;
ALOITUS;2;2;2;2;820;;101;9,5;0,786233778;;;;110;
ALOITUS;2;2;2;2;820;;103;10,2;0,794865934;;;;110;
ALOITUS;2;2;2;2;820;;103;13,2;1,028650032;;;;110;
ALOITUS;2;2;2;2;820;;107;11,1;0,769549942;;;;110;
ALOITUS;2;2;2;1;819;;113;11,7;0,686092854;;;;110;
ALOITUS;2;2;2;1;819;;110;11,5;0,732415312;;;;110;
ALOITUS;2;2;2;1;819;;110;10,6;0,675095852;;;;110;
ALOITUS;2;2;2;1;819;;122;14,7;0,681360239;;;;110;
ALOITUS;2;2;2;1;819;;110;12,1;0,770628284;;;;110;
ALOITUS;2;2;2;1;819;;110;11,8;0,751521798;;;;110;
ALOITUS;2;2;2;1;819;;113;10,7;0,627452439;;;;110;
ALOITUS;2;2;2;1;819;;110;10,5;0,668727024;;;;110;
ALOITUS;2;2;2;1;819;;112;11,8;0,711092872;;;;110;
ALOITUS;2;2;2;1;819;;115;12,5;0,694582447;;;;110;
ALOITUS;2;2;2;1;819;;110;9,9;0,630514051;;;;110;
ALOITUS;2;2;2;1;819;;105;10,3;0,756657207;;;;110;
ALOITUS;2;2;2;1;819;;110;10,7;0,681464681;;;;110;
ALOITUS;2;2;2;1;819;;107;10,4;0,721019765;;;;110;
ALOITUS;2;2;2;1;819;;107;10;0,693288236;;;;110;
ALOITUS;2;2;2;1;819;;110;10,3;0,655989366;;;;110;
ALOITUS;2;2;2;1;819;;108;11;0,741153541;;;;110;
ALOITUS;2;2;2;1;819;;108;10,4;0,700726984;;;;110;
ALOITUS;2;2;2;1;819;;105;10,4;0,764003393;;;;110;
ALOITUS;2;2;2;1;819;;101;9;0,744853053;;;;110;
ALOITUS;2;2;2;1;819;;111;12,6;0,780491904;;;;110;
ALOITUS;2;2;2;1;819;;107;10,2;0,707154;;;;110;
ALOITUS;2;2;2;1;819;;101;8,7;0,720024618;;;;110;
ALOITUS;2;2;2;1;819;;109;10;0,654985139;;;;110;
ALOITUS;2;2;2;1;819;;115;13,7;0,761262362;;;;110;
ALOITUS;2;2;2;1;819;;113;11,2;0,656772646;;;;110;
ALOITUS;2;2;2;1;819;;100;9,2;0,785014769;;;;110;
ALOITUS;2;2;2;1;819;;112;11,8;0,711092872;;;;110;
ALOITUS;2;2;2;1;819;;105;8,4;0,617079664;;;;110;
ALOITUS;2;2;2;1;819;;116;12,4;0,670958899;;;;110;
ALOITUS;2;2;2;1;819;;110;11,5;0,732415312;;;;110;
ALOITUS;2;2;2;1;819;;108;9,9;0,667038187;;;;110;
ALOITUS;2;2;2;1;819;;107;10,3;0,714086883;;;;110;
ALOITUS;2;2;2;1;819;;111;10,9;0,67518744;;;;110;
ALOITUS;2;2;2;1;819;;109;10,4;0,681184544;;;;110;
ALOITUS;2;2;2;1;819;;107;10,3;0,714086883;;;;110;
ALOITUS;2;2;2;1;819;;105;10,3;0,756657207;;;;110;
ALOITUS;2;2;2;1;819;;112;11,1;0,668909397;;;;110;
ALOITUS;2;2;2;1;819;;114;12,7;0,724866207;;;;110;
ALOITUS;2;2;2;1;819;;110;10,8;0,68783351;;;;110;
ALOITUS;2;2;2;1;819;;112;10,8;0,650830764;;;;110;
ALOITUS;2;2;2;1;819;;110;10,2;0,649620537;;;;110;
ALOITUS;2;2;2;1;819;;109;8,6;0,563287219;;;;110;
ALOITUS;2;2;2;1;819;;102;9,6;0,770846811;;;;110;
ALOITUS;2;2;2;1;819;;100;9,3;0,793547538;;;;110;
ALOITUS;2;2;2;1;819;;92;7,1;0,782492615;;;;110;
ALOITUS;2;2;2;1;819;;109;10,2;0,668084842;;;;110;
ALOITUS;2;2;2;1;819;;110;11,6;0,73878414;;;;110;
ALOITUS;2;2;2;1;819;;115;12,7;0,705695766;;;;110;
ALOITUS;2;2;2;1;819;;102;8,9;0,714639231;;;;110;
ALOITUS;2;2;2;1;819;;111;11,6;0,718548102;;;;110;
ALOITUS;2;2;2;1;819;;112;10,7;0,644804554;;;;110;
ALOITUS;2;2;2;1;819;;107;11,1;0,769549942;;;;110;
ALOITUS;2;2;2;1;819;;107;9,3;0,644758059;;;;110;
ALOITUS;2;2;2;1;819;;110;11;0,700571168;;;;110;
ALOITUS;2;2;2;1;819;;105;11;0,808080512;;;;110;
ALOITUS;2;2;2;1;819;;108;10,9;0,734415781;;;;110;
ALOITUS;2;2;2;1;819;;105;10,2;0,74931102;;;;110;
ALOITUS;2;2;2;1;819;;105;10,4;0,764003393;;;;110;
ALOITUS;2;2;2;1;819;;110;10,6;0,675095852;;;;110;
ALOITUS;2;2;2;1;819;;110;10,5;0,668727024;;;;110;
ALOITUS;2;2;2;1;819;;105;9,5;0,697887715;;;;110;
ALOITUS;2;2;2;1;819;;110;11,4;0,726046483;;;;110;
ALOITUS;2;2;2;1;819;;105;9,9;0,727272461;;;;110;
ALOITUS;2;2;2;1;819;;105;10,7;0,786041953;;;;110;
ALOITUS;2;2;2;1;819;;110;10,6;0,675095852;;;;110;
ALOITUS;2;2;2;1;819;;105;10,2;0,74931102;;;;110;
ALOITUS;2;2;2;1;819;;115;12,8;0,711252425;;;;110;
ALOITUS;2;2;2;1;819;;105;10,1;0,741964834;;;;110;
ALOITUS;2;2;2;1;819;;110;10,7;0,681464681;;;;110;
ALOITUS;2;2;2;1;819;;110;11,2;0,713308825;;;;110;
ALOITUS;2;2;2;1;819;;114;11,8;0,673497736;;;;110;
ALOITUS;2;2;2;1;819;;111;11,9;0,737131242;;;;110;
